id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
45,8,5,32,5,120,60,0.001,128,95.64640045,86.99028778
460,8,3,32,5,120,40,0.001,128,93.82728577,86.68370056
462,4,3,48,5,80,60,0.03,64,20.83801842,20.29637337
464,8,5,32,3,120,50,0.03,256,20.83801842,20.29637337
465,4,5,48,5,100,60,0.001,256,92.07460022,85.96832275
466,8,3,32,5,120,50,0.003,64,95.13540649,84.78282928
468,12,5,32,3,120,50,0.001,64,95.13030243,85.53909302
469,4,3,48,5,100,40,0.003,256,97.5421524,86.00920105
46,12,3,24,3,120,40,0.03,64,20.83801842,20.29637337
470,4,5,48,3,100,60,0.01,256,79.9642334,78.02759552
471,4,5,24,5,120,40,0.01,256,83.15278625,80.3576889
475,8,3,48,5,120,40,0.001,32,98.62033844,87.42974091
476,12,5,32,5,80,50,0.003,256,94.79305267,85.37557983
47,4,3,48,5,100,40,0.003,32,87.32243347,82.1665802
480,12,3,24,5,80,40,0.01,64,7.531936646,7.511497498
481,8,5,24,5,100,50,0.001,64,94.99233246,86.01941681
482,4,5,48,3,100,40,0.001,64,96.19315338,85.68216705
483,12,5,24,3,100,50,0.003,256,95.29382324,86.00920105
484,12,5,24,5,120,60,0.01,256,20.83801842,20.29637337
487,12,3,24,5,120,60,0.03,64,20.83801842,20.29637337
488,4,3,32,3,80,40,0.03,256,20.83801842,20.29637337
489,4,3,24,3,120,40,0.01,32,54.58354187,54.19519424
48,8,3,32,3,80,60,0.003,256,95.83546448,85.90699768
493,12,5,24,5,80,50,0.001,128,93.97036743,86.29534912
498,8,5,32,5,120,50,0.01,256,20.83801842,20.29637337
499,8,3,24,5,100,60,0.03,128,20.83801842,20.29637337
49,4,5,32,5,100,50,0.001,256,91.4818573,85.73326111
4,4,3,48,3,80,50,0.001,128,92.38630676,86.00920105
501,12,3,24,3,100,60,0.003,128,96.54573059,86.12161255
502,12,5,24,5,120,40,0.003,64,89.20796967,83.63822174
503,4,3,24,3,80,50,0.001,128,90.12774658,85.47776794
505,12,5,32,3,120,40,0.003,128,96.3873291,85.4573288
506,8,5,24,3,100,40,0.003,32,88.82984161,83.20899963
